Id,Name,Name [Scene]
1,捷運西門站,測試場景1
2,豪大大雞排,Playground
6,喜滿客  絕色影城,西門町智慧城市@中央廣場前(漢中▶峨眉)
7,APPLE維修中心,西門町智慧城市@東岸街(峨眉▶西寧南路)
8,美觀園  日本料理,西門町智慧城市@東岸街(峨眉▶西寧南路)
9,阿豬嘻  烤肉村,西門町智慧城市@東岸街(峨眉▶西寧南路)
10,大車輪  火車壽司,西門町智慧城市@東岸街(峨眉▶西寧南路)
11,人从众  厚切牛排,西門町智慧城市@中央廣場前(漢中▶峨眉)
13,阿宗麵線,西門町智慧城市@西岸街(峨眉▶中華路)
14,北平一條龍餃子館,西門町智慧城市@西岸街(峨眉▶中華路)
15,PUMA,西門町智慧城市@西岸街(峨眉▶中華路)
16,全家便利店萬國店,西門町智慧城市@西岸街(峨眉▶中華路)
17,肉亭わたみ西門店,測試場景1
18,焗本家  洋食屋,西門町智慧城市@東岸街(峨眉▶西寧南路)
19,收藏天地 峨嵋店(隱藏),西門町智慧城市@西岸街(峨眉▶中華路)
20,三商巧福,西門町智慧城市@西岸街(峨眉▶中華路)
21,摩曼頓  籃球體驗店(隱藏),西門町智慧城市@西岸街(峨眉▶中華路)
22,熊一   頂級燒肉,西門町智慧城市@東岸街(峨眉▶西寧南路)
23,名創優品 西門漢中店(隱藏),西門町智慧城市@東岸街(峨眉▶西寧南路)
24,松本清 西門峨嵋店,西門町智慧城市@東岸街(峨眉▶西寧南路)
25,肯德基(隱藏),西門町智慧城市@東岸街(峨眉▶西寧南路)
26,半島咖啡,西門町智慧城市@西岸街(峨眉▶中華路)
27,UNI- QLO,西門町智慧城市@中央廣場前(漢中▶峨眉)
29,猴子島嶼,測試場景1
30,薩莉亞  西門店,西門町智慧城市@中央廣場前(漢中▶峨眉)
31,新港茶餐廳西門店,西門町智慧城市@中央廣場前(漢中▶峨眉)
32,ABC  MART,西門町智慧城市@百老匯街(武昌▶西寧南)
33,新馬辣  經典麻辣鍋,西門町智慧城市@中央廣場前(漢中▶峨眉)
34,爭鮮   迴轉壽司,西門町智慧城市@中央廣場後段(漢中▶武昌)
35,康是美 漢中門市 ,西門町智慧城市@中央廣場後段(漢中▶武昌)
36,阿毛   石鍋燉飯,西門町智慧城市@皇后街(6號出口)
37,林默娘1,
38,林默娘2,
39,林默娘3,
40,林默娘(漢中街中段),
41,繼光香香雞西門店,西門町智慧城市@皇后街(6號出口)
42,H&M  亞洲旗艦店,西門町智慧城市@皇后街(6號出口)
44,OTARU COFFEE,西門町智慧城市@皇后街(6號出口)
45,Own- days,西門町智慧城市@皇后街(6號出口)
46,唐舖子,西門町智慧城市@皇后街(6號出口)
47,鬼洗直營店,西門町智慧城市@西岸街(峨眉▶中華路)
48,AK12 美式小館,西門町智慧城市@西岸街(峨眉▶中華路)
49,閑茗樓  西門店,測試場景1
50,男士美西服	,西門町智慧城市@西岸街(峨眉▶中華路)
51,皇家巴黎　中華會館(隱藏),西門町智慧城市@西岸街(峨眉▶中華路)
52,小三美日,西門町智慧城市@中央廣場前(漢中▶峨眉)
55,Today,西門町智慧城市@東岸街(峨眉▶西寧南路)
56,innis-free,西門町智慧城市@中央廣場前(漢中▶峨眉)
58,定食8,西門町智慧城市@中央廣場後段(漢中▶武昌)
59,雙子座珠寶,西門町智慧城市@中央廣場後段(漢中▶武昌)
60,麥格子  雜貨店,西門町智慧城市@中央廣場後段(漢中▶武昌)
61,夯肉殿  炭火燒肉,西門町智慧城市@中央廣場後段(漢中▶武昌)
62,永豐銀行 ATM,西門町智慧城市@東岸街(峨眉▶西寧南路)
63,福勝亭,西門町智慧城市@東岸街(峨眉▶西寧南路)
64,Pier-Mei,西門町智慧城市@東岸街(峨眉▶西寧南路)
65,阿瘦皮鞋 西門店,西門町智慧城市@東岸街(峨眉▶西寧南路)
66,西美觀園 食堂,西門町智慧城市@東岸街(峨眉▶西寧南路)
67,Tai- pei  today,
69,Swatch,西門町智慧城市@東岸街(峨眉▶西寧南路)
70,STAR,西門町智慧城市@東岸街(峨眉▶西寧南路)
71,櫻桃爺爺 西門店,測試場景1
73,雪龍眼鏡,西門町智慧城市@皇后街(6號出口)
75,康是美,
76,濟州豆腐鍋,西門町智慧城市@皇后街(6號出口)
77,娃娃叢林,測試場景1
78,娃娃瘋,西門町智慧城市@皇后街(6號出口)
79,七年級  精品服飾,西門町智慧城市@皇后街(6號出口)
80,STAR m.s man,西門町智慧城市@東岸街(峨眉▶西寧南路)
81,魚窩   休閒餐飲,
82,ROBIN-MAY,西門町智慧城市@中央廣場前(漢中▶峨眉)
84,星巴克,西門町智慧城市@中央廣場後段(漢中▶武昌)
85,Coco 壱番屋,西門町智慧城市@中央廣場後段(漢中▶武昌)
153,7-11 捷盟門市,西門町智慧城市@中央廣場後段(漢中▶武昌)
154,屈臣氏  武昌店,西門町智慧城市@哈林街(漢中▶漢口)
