Id,Location,Name [Coordinate systems]
1,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
2,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
3,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
7,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
8,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
69,"---
x: '0'
""y"": '2039'
z: '5532'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.5846852994181004'
",
81,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",
82,"---
x: 10.0
""y"": 40.0
z: 100.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
94,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
106,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",
107,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
108,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",
112,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",
113,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
118,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
119,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",
120,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
121,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",
123,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",清水服務區
124,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",新北市政府-6
125,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
127,"---
x: '16.8'
""y"": '0.0'
z: ""-4.4""
rotate_x: '0.0'
rotate_y: '86.0'
rotate_z: '0.0'
","中央廣場_前半,新西門圓環"
128,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
129,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",Holopark Scene
131,"---
x: '0.0'
""y"": '0.0'
z: '4.0'
rotate_x: '0.0'
rotate_y: '180.0'
rotate_z: '0.0'
",測試座標系
132,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
133,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
134,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
136,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
137,"---
x: '2.3'
""y"": '0.0'
z: '50.98'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","西岸街,新西門圓環"
141,"---
x: ""-48.04""
""y"": '0.0'
z: '38.7'
rotate_x: '0.0'
rotate_y: '130.5'
rotate_z: '0.0'
","皇后街,新西門圓環"
144,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
146,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",成都楊桃冰
148,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
151,"---
x: '94.0'
""y"": '0.0'
z: '7.9'
rotate_x: '0.0'
rotate_y: '85.0'
rotate_z: '0.0'
","東岸街,新西門圓環"
153,"---
x: 9.0
""y"": 0.0
z: 0.4
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
158,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
160,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",天文館
163,"---
x: 0
""y"": 0
z: 0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
164,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '90.0'
rotate_z: '0.0'
",高醫大校史館
165,"---
x: ""-1.7""
""y"": '0.0'
z: ""-74.5""
rotate_x: '0.0'
rotate_y: ""-4.0""
rotate_z: '0.0'
","中央廣場_前半,新西門圓環"
166,"---
x: '120.26'
""y"": '0.0'
z: '35.94'
rotate_x: '0.0'
rotate_y: ""-3.0""
rotate_z: '0.0'
",
167,"---
x: -2.4
""y"": 0.0
z: 68.02
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
168,"---
x: ""-0.74""
""y"": '0.0'
z: ""-83.99""
rotate_x: '0.0'
rotate_y: '175.0'
rotate_z: '0.0'
","東岸街,新西門圓環"
169,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
170,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",高雄亞灣新創園
171,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",Holopark Scene
172,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
173,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",
175,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
176,"---
x: -6.01
""y"": 0.0
z: 7.08
rotate_x: 0.0
rotate_y: 4.17
rotate_z: 0.0
",
177,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",
178,"---
x: 94.0
""y"": 0.0
z: 7.9
rotate_x: 0.0
rotate_y: 266.0
rotate_z: 0.0
",
179,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",23科技燈區
180,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",
181,"---
x: ""-17.7""
""y"": '0.0'
z: '1.2'
rotate_x: '0.0'
rotate_y: '90.0'
rotate_z: '0.0'
",智慧燈桿-重慶路館前東路南側
